device,case_id,family,cells,rank,payload_bytes,consumers,reuse,working_records,cache,comparison,median_difference_us,ci_low,ci_high,winner,test_effect_mean_us,raw_p,test,multiple_testing_family,corrected_p
cpu,17,core,144,32,18432,1,2,1,warm,D minus C,39.949,37.92500000000001,41.80799999999999,C,36.70490909090909,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,17,core,144,32,18432,1,2,1,warm,G minus F,5.225999999999999,4.275000000000006,5.956000000000003,F,6.35718181818182,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,17,core,144,32,18432,1,2,1,warm,F minus D,-58.199,-60.086,-56.06800000000001,F,-58.84863636363636,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,17,core,144,32,18432,1,2,1,warm,E minus D,-58.073999999999984,-61.251999999999995,-55.5,E,-57.602363636363634,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,18,core,144,32,18432,1,4,1,warm,E minus C,-41.843,-44.203,-36.33000000000001,E,-41.756,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,18,core,144,32,18432,1,4,1,warm,D minus C,70.85,69.18700000000001,72.422,C,71.72818181818181,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,18,core,144,32,18432,1,4,1,warm,G minus F,7.1000000000000085,6.506999999999991,8.583999999999989,F,7.03018181818182,0.0068359375,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,1.0
cpu,18,core,144,32,18432,1,4,1,warm,F minus D,-112.98900000000002,-119.32199999999999,-112.325,F,-114.88818181818182,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,18,core,144,32,18432,1,4,1,warm,E minus D,-111.40200000000002,-119.959,-108.22299999999998,E,-113.48418181818182,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,19,core,144,32,18432,1,8,1,warm,E minus C,-91.27100000000002,-96.60100000000006,-89.215,E,-91.35772727272729,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,19,core,144,32,18432,1,8,1,warm,D minus C,128.70500000000004,121.78099999999995,138.449,C,131.51654545454542,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,19,core,144,32,18432,1,8,1,warm,G minus F,6.930000000000007,6.47799999999998,8.164000000000016,F,7.1944545454545485,0.0107421875,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,1.0
cpu,19,core,144,32,18432,1,8,1,warm,F minus D,-219.44199999999998,-231.58,-217.35700000000003,F,-223.03409090909088,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,19,core,144,32,18432,1,8,1,warm,E minus D,-218.382,-229.01699999999994,-217.40299999999996,E,-222.8742727272727,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,20,core,144,32,18432,1,16,1,warm,E minus C,-177.8850000000001,-191.84200000000004,-174.2720000000001,E,-182.93300000000002,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,20,core,144,32,18432,1,16,1,warm,D minus C,247.94999999999993,239.15399999999983,263.91099999999983,C,248.91781818181815,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,20,core,144,32,18432,1,16,1,warm,G minus F,2.4429999999999836,-0.43600000000003547,6.893000000000029,unresolved,3.5671818181818264,0.1845703125,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,1.0
cpu,20,core,144,32,18432,1,16,1,warm,F minus D,-429.9650000000002,-438.02899999999994,-424.05499999999995,F,-431.1613636363636,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,20,core,144,32,18432,1,16,1,warm,E minus D,-429.60999999999996,-437.17399999999986,-425.623,E,-431.8508181818181,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,21,core,144,32,18432,1,32,1,warm,E minus C,-360.65,-367.277,-356.1790000000001,E,-357.4330000000001,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,21,core,144,32,18432,1,32,1,warm,D minus C,488.01599999999974,481.2679999999996,495.26200000000006,C,489.6007272727272,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,21,core,144,32,18432,1,32,1,warm,G minus F,4.037999999999954,-1.2649999999999864,7.396000000000129,unresolved,6.521727272727276,0.1796875,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,1.0
cpu,21,core,144,32,18432,1,32,1,warm,F minus D,-860.137,-862.027,-840.085,F,-853.776,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
cpu,21,core,144,32,18432,1,32,1,warm,E minus D,-850.637,-857.9830000000002,-845.6020000000001,E,-847.0337272727273,0.0009765625,exact paired sign-flip of mean; assumes exchangeable symmetric run-block differences,all server layout contrasts; exploratory,0.7421875
