encoder,rung,age,n,latent_minus_symbolic,ci_low,ci_high,source_main,source_baseline
DINOv2,jpeg_q95_518,3,90,-0.1634473787452369,-0.26261072884775033,-0.0678684536239971,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q95_518,5,90,-0.13803940196706344,-0.2672576536781391,-0.02592453181488052,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q95_518,8,90,-0.048721777256849785,-0.16662424678960164,0.05427473764501754,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q95_518,12,90,0.04868081418613546,-0.06280523863510822,0.14861095058211266,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q95_518,20,90,0.07953365755328212,-0.044019225201636175,0.19403722944913268,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q95_518,30,88,0.03313661021631886,-0.12578646582014277,0.1861876798957764,q1q3_all90.json,e21_floor_dinov2.json
DINOv2,jpeg_q95_518,40,81,0.13824605044374283,-0.07464450520665497,0.3576562362417744,q1q3_all90.json,e21_floor_dinov2.json
CLIP,jpeg_q75_28,0,90,2.704596365128709,2.0228903893180945,3.7634669662607845,e21_clip.json,e21_floor_clip.json
CLIP,jpeg_q75_28,1,90,2.7812173269315217,2.0043236282706314,3.8351521382909155,e21_clip.json,e21_floor_clip.json
CLIP,jpeg_q75_28,2,90,2.7110890080542864,1.988658413578291,3.813764772470447,e21_clip.json,e21_floor_clip.json
CLIP,jpeg_q75_28,3,90,2.717209052915818,2.019624077236356,3.7712460196317816,e21_clip.json,e21_floor_clip.json
CLIP,jpeg_q75_28,5,90,2.663054733537587,1.9211447324331652,3.717566660536567,e21_clip.json,e21_floor_clip.json
CLIP,jpeg_q75_28,8,90,2.555400935817506,1.8622667753217441,3.662647414879634,e21_clip.json,e21_floor_clip.json
CLIP,jpeg_q75_28,12,90,2.506894625769295,1.759563939017854,3.682808764872553,e21_clip.json,e21_floor_clip.json
CLIP,jpeg_q75_28,20,90,2.3087139533797947,1.6107224314729662,3.2893828481764493,e21_clip.json,e21_floor_clip.json
CLIP,jpeg_q75_28,30,88,2.067258680840407,1.4272787900408084,2.950413917660508,e21_clip.json,e21_floor_clip.json
CLIP,jpeg_q75_28,40,81,1.9022594108260051,1.2753374980483234,2.849908620994034,e21_clip.json,e21_floor_clip.json
CLIP,jpeg_q50_56,0,90,3.055073846205186,2.3503790528405766,4.133423375093232,e21_clip.json,e21_floor_clip.json
CLIP,jpeg_q50_56,1,90,3.1365817765425326,2.3797481923764763,4.2998470881818305,e21_clip.json,e21_floor_clip.json
CLIP,jpeg_q50_56,2,90,3.060259133866494,2.3414239352577697,4.192739124403015,e21_clip.json,e21_floor_clip.json
CLIP,jpeg_q50_56,3,90,3.0377791689752804,2.3028506879781223,4.14235355265126,e21_clip.json,e21_floor_clip.json
CLIP,jpeg_q50_56,5,90,2.964260263678997,2.2672247345369887,4.093565194825479,e21_clip.json,e21_floor_clip.json
CLIP,jpeg_q50_56,8,90,2.827623060633557,2.0763489053296738,3.908011512149668,e21_clip.json,e21_floor_clip.json
CLIP,jpeg_q50_56,12,90,2.7636361676504344,2.0578680859915477,3.855136091185934,e21_clip.json,e21_floor_clip.json
CLIP,jpeg_q50_56,20,90,2.494551839373438,1.8103113904775092,3.603868098365937,e21_clip.json,e21_floor_clip.json
CLIP,jpeg_q50_56,30,88,2.181031162008048,1.525691939938942,3.180507698350069,e21_clip.json,e21_floor_clip.json
CLIP,jpeg_q50_56,40,81,1.9532006378585285,1.2698090605129109,2.8621133559566747,e21_clip.json,e21_floor_clip.json
CLIP,jpeg_q75_56,0,90,3.1307029438480263,2.420226420255284,4.209195792087388,e21_clip.json,e21_floor_clip.json
CLIP,jpeg_q75_56,1,90,3.212095223102384,2.4409542203826735,4.300189951579879,e21_clip.json,e21_floor_clip.json
CLIP,jpeg_q75_56,2,90,3.1520700433711455,2.43227192843973,4.24792053487137,e21_clip.json,e21_floor_clip.json
CLIP,jpeg_q75_56,3,90,3.150936561926801,2.3498898970005166,4.267463251643988,e21_clip.json,e21_floor_clip.json
CLIP,jpeg_q75_56,5,90,3.0630984416868827,2.31680932796964,4.198728251375437,e21_clip.json,e21_floor_clip.json
CLIP,jpeg_q75_56,8,90,2.9131982802018648,2.1730006743609387,4.046483982949626,e21_clip.json,e21_floor_clip.json
CLIP,jpeg_q75_56,12,90,2.8607463120167242,2.0957801265346254,3.9759139674082142,e21_clip.json,e21_floor_clip.json
CLIP,jpeg_q75_56,20,90,2.5493207480235385,1.857938530907671,3.7077535217524433,e21_clip.json,e21_floor_clip.json
CLIP,jpeg_q75_56,30,88,2.3023006519032942,1.6569379991957967,3.368222033487045,e21_clip.json,e21_floor_clip.json
CLIP,jpeg_q75_56,40,81,2.031993589707069,1.336288643929043,2.98677628916359,e21_clip.json,e21_floor_clip.json
CLIP,jpeg_q50_112,0,90,3.002585466558747,2.328002848574262,4.039204970996693,e21_clip.json,e21_floor_clip.json
CLIP,jpeg_q50_112,1,90,3.09469229518115,2.3959109231559634,4.247523612445781,e21_clip.json,e21_floor_clip.json
CLIP,jpeg_q50_112,2,90,3.0539597214495595,2.3538488573464127,4.166377103584351,e21_clip.json,e21_floor_clip.json
CLIP,jpeg_q50_112,3,90,3.055980614140666,2.3654831838625556,4.129996626949834,e21_clip.json,e21_floor_clip.json
CLIP,jpeg_q50_112,5,90,3.013518557637651,2.3127307360715528,4.089398264452165,e21_clip.json,e21_floor_clip.json
CLIP,jpeg_q50_112,8,90,2.9011292504065525,2.1654269078035693,4.029339470513545,e21_clip.json,e21_floor_clip.json
CLIP,jpeg_q50_112,12,90,2.828122604748867,2.09550813990769,4.051092808743267,e21_clip.json,e21_floor_clip.json
CLIP,jpeg_q50_112,20,90,2.484618115864183,1.776060503841951,3.537360319495857,e21_clip.json,e21_floor_clip.json
CLIP,jpeg_q50_112,30,88,2.232677774247072,1.6021352139594256,3.226530545358433,e21_clip.json,e21_floor_clip.json
CLIP,jpeg_q50_112,40,81,2.140384290773204,1.5202899146747508,3.0980806888047634,e21_clip.json,e21_floor_clip.json
