cells,rank,payload_bytes,consumers,reuse,comparison,median_difference_us,ci_low,ci_high,winner,inference
1024,8,32768,3,4,E minus C,-28.959000000000003,-34.500999999999976,-20.375,E,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
1024,8,32768,3,4,G minus C,-72.07999999999998,-75.587,-68.58,G,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
1024,8,32768,3,4,G minus F,-44.917,-53.5,-36.958,G,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
1024,8,32768,3,8,E minus C,-67.21100000000001,-88.79399999999998,-62.376999999999896,E,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
1024,8,32768,3,8,G minus C,-172.95999999999995,-198.711,-156.874,G,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
1024,8,32768,3,8,G minus F,-119.25299999999996,-161.50300000000004,-103.041,G,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
1024,8,32768,3,16,E minus C,-136.9190000000001,-190.59000000000003,-120.2840000000001,E,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
1024,8,32768,3,16,G minus C,-392.4570000000001,-434.915,-342.20799999999997,G,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
1024,8,32768,3,16,G minus F,-241.54300000000012,-268.53600000000006,-210.9969999999999,G,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
1024,8,32768,3,32,E minus C,-305.1750000000002,-420.8409999999999,-255.83300000000008,E,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
1024,8,32768,3,32,G minus C,-801.2439999999999,-964.663,-771.2139999999998,G,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
1024,8,32768,3,32,G minus F,-498.876,-855.0799999999999,-493.4609999999999,G,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
1024,8,32768,3,64,E minus C,-524.5340000000001,-566.7950000000001,-266.83500000000004,E,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
1024,8,32768,3,64,G minus C,-1521.0009999999997,-1639.672,-1348.832,G,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
1024,8,32768,3,64,G minus F,-996.3270000000002,-1052.1710000000003,-797.9649999999999,G,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
1024,8,32768,3,128,E minus C,-1101.2799999999997,-1405.4450000000006,-929.2839999999997,E,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
1024,8,32768,3,128,G minus C,-3166.375,-3442.658000000001,-2982.856,G,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
1024,8,32768,3,128,G minus F,-2118.1440000000002,-2179.5350000000008,-2055.8339999999994,G,"exploratory pointwise block bootstrap; small n, hot synthetic record, no practical margin"
