suite,task_id,task,initial_state_index,arm,success,steps,decisions,acquisitions,wall_seconds,inference_median_seconds,inference_p95_seconds,inference_total_seconds,gpu_board_gross_inference_total_mJ,gpu_board_gross_episode_mJ,peak_gpu_allocated_bytes
libero_object,0,pick up the alphabet soup and place it in the basket,28,fresh,1,144,9,9,50.541298252530396,1.1864287573844194,1.2070289464667439,10.713925319723785,,6942719.0,5107576832
libero_object,0,pick up the alphabet soup and place it in the basket,29,fresh,1,152,10,10,54.722586711868644,1.1893187290988863,1.2052906619850545,11.919571784324944,,7588977.0,5107576832
libero_object,0,pick up the alphabet soup and place it in the basket,30,fresh,1,137,9,9,49.80387576762587,1.1925862515345216,1.1986433919519186,10.732418848201632,,6917125.0,5107576832
libero_object,0,pick up the alphabet soup and place it in the basket,31,fresh,1,124,8,8,43.77524445671588,1.1933359988033772,1.201841914979741,9.546015885658562,,6087053.0,5107576832
libero_object,0,pick up the alphabet soup and place it in the basket,32,fresh,1,145,10,10,54.64455331303179,1.1938203116878867,1.202770312083885,11.937469977885485,,7586320.0,5107576832
libero_object,0,pick up the alphabet soup and place it in the basket,33,fresh,1,146,10,10,53.3943785186857,1.1850333316251636,1.1949735797476024,11.847642738372087,,7461369.0,5107576832
libero_object,0,pick up the alphabet soup and place it in the basket,34,fresh,1,141,9,9,48.846484816633165,1.1795884128659964,1.189088479615748,10.621119017712772,,6808236.0,5107576832
libero_object,0,pick up the alphabet soup and place it in the basket,35,fresh,1,145,10,10,51.453435495495796,1.1781716663390398,1.1886578081641346,11.794642405584455,,7306461.0,5107576832
libero_object,0,pick up the alphabet soup and place it in the basket,36,fresh,1,139,9,9,50.443623512052,1.1931272335350513,1.1978168349713088,10.74099338799715,,6975007.0,5107576832
libero_object,0,pick up the alphabet soup and place it in the basket,37,fresh,1,137,9,9,50.11065443046391,1.1743477452546358,1.1763760114088655,10.569668994285166,,6924079.0,5107576832
libero_object,0,pick up the alphabet soup and place it in the basket,38,fresh,1,141,9,9,48.310034793801606,1.1773769417777658,1.1869500003755094,10.6045144777745,,6774751.0,5107576832
libero_object,0,pick up the alphabet soup and place it in the basket,39,fresh,1,125,8,8,45.14947477821261,1.190365290734917,1.201503619365394,9.532036745920777,,6219374.0,5107576832
libero_object,0,pick up the alphabet soup and place it in the basket,40,fresh,1,136,9,9,50.29005039576441,1.1877813087776303,1.1983405467122794,10.683017578907311,,6972577.0,5107576832
libero_goal,0,open the middle drawer of the cabinet,1,fresh,1,121,8,8,54.88683735951781,1.1778646493330598,1.1929442981258034,9.447718326933682,,7071688.0,5107576832
libero_goal,0,open the middle drawer of the cabinet,2,fresh,1,122,8,8,56.009213073179126,1.1929830014705658,1.1965584830380975,9.51953078340739,,7135243.0,5107576832
